show,year,genre,rating,votes,runtime,gross
"An Afternoon with SCTV","TV Special",Talk-Show,0.0,0.0,0.0,""
"An Astrological Guide for Broken Hearts","","Comedy,Romance",0.0,0.0,0.0,""
"An Interview with God",2018,"Drama,Mystery",5.8,3470.0,97.0,1.25
"An lian: Ju sheng huai nan",2019,Drama,7.3,188.0,35.0,""
"Anatomy of a Love Seen",2014,"Drama,Romance",4.7,2487.0,80.0,""
"Anatomy of a Scandal","","Drama,Thriller",0.0,0.0,0.0,""
"Anazâ",2012,"Animation,Drama,Horror",7.6,12437.0,300.0,""
"Ancient Extraterrestrials: Aliens and UFOs Before the Dawn of Time","2012 Video",Documentary,5.6,8.0,188.0,""
"And the Oscar Goes To...","2014 TV Movie","Documentary,History",7.1,1419.0,87.0,""
"Andes Mágicos",2019,Documentary,7.8,447.0,0.0,""
"Andið eðlilega",2018,Drama,6.9,2678.0,95.0,""
